version,case,iteration,elapsed,rss,private,pagefile,handles,threads
3.6.5,success,0,0,39997440,27340800,27340800,173,4
3.6.5,success,1,0.10900000000015098,46944256,163414016,163414016,173,4
3.6.5,success,25,2.25,47403008,163700736,163700736,173,4
3.6.5,success,50,4.4529999999999745,47398912,163635200,163635200,173,4
3.6.5,success,75,6.6720000000000255,47452160,164061184,164061184,173,4
3.6.5,success,100,8.922000000000025,47509504,164032512,164032512,173,4
3.6.5,success,125,11.141000000000076,47554560,163905536,163905536,173,4
3.6.5,success,150,13.359000000000151,47403008,163635200,163635200,173,4
3.6.5,success,175,15.547000000000025,48246784,164777984,164777984,173,4
3.6.5,success,200,17.766000000000076,48533504,164945920,164945920,173,4
3.6.5,success,225,19.96900000000005,48373760,164601856,164601856,173,4
3.6.5,success,250,22.172000000000025,48439296,164900864,164900864,173,4
3.6.5,success,275,24.375,48422912,164638720,164638720,173,4
3.6.5,success,300,26.577999999999975,49172480,165720064,165720064,173,4
3.6.5,success,325,28.812000000000126,48381952,164659200,164659200,173,4
3.6.5,success,350,31.0,49160192,165720064,165720064,173,4
3.6.5,success,375,33.202999999999975,48394240,164794368,164794368,173,4
3.6.5,success,400,35.437000000000126,48369664,164872192,164872192,173,4
3.6.5,success,425,37.766000000000076,49188864,165720064,165720064,173,4
3.6.5,success,450,40.016000000000076,49164288,165707776,165707776,173,4
3.6.5,success,475,42.297000000000025,48377856,164868096,164868096,173,4
3.6.5,success,500,44.577999999999975,48414720,164786176,164786176,173,4
3.6.5,success,525,46.875,49168384,165654528,165654528,173,4
3.6.5,success,550,49.172000000000025,48427008,164642816,164642816,173,4
3.6.5,success,575,51.452999999999975,48459776,164696064,164696064,173,4
3.6.5,success,600,53.687000000000126,49172480,165720064,165720064,173,4
3.6.5,success,625,55.906000000000176,48410624,164630528,164630528,173,4
3.6.5,success,650,58.10900000000015,48406528,164696064,164696064,173,4
3.6.5,success,675,60.327999999999975,48361472,164687872,164687872,173,1
3.6.5,success,700,62.547000000000025,49152000,165613568,165613568,173,1
3.6.5,success,725,64.75,48373760,164814848,164814848,173,1
3.6.5,success,750,67.25,48345088,164548608,164548608,173,1
3.6.5,success,775,69.5,49123328,165613568,165613568,173,1
3.6.5,success,800,71.70299999999997,48369664,164564992,164564992,173,1
3.6.5,success,825,73.92200000000003,48381952,164876288,164876288,173,1
3.6.5,success,850,76.14100000000008,49115136,165609472,165609472,173,1
3.6.5,success,875,78.35900000000015,48443392,164741120,164741120,173,1
3.6.5,success,900,80.57799999999997,49139712,165613568,165613568,173,1
3.6.5,success,925,82.78100000000018,48443392,165003264,165003264,173,1
3.6.5,success,950,84.98400000000015,48377856,164577280,164577280,173,1
3.6.5,success,975,87.17200000000003,49123328,165613568,165613568,173,1
3.6.5,success,1000,89.375,48377856,164798464,164798464,173,1
3.7.2,success,0,0,40640512,27705344,27705344,174,4
3.7.2,success,1,0.18799999999998818,47464448,163405824,163405824,174,4
3.7.2,success,25,4.171999999999969,48087040,163930112,163930112,174,4
3.7.2,success,50,8.296999999999969,48066560,163868672,163868672,174,4
3.7.2,success,75,12.406000000000006,48128000,163975168,163975168,174,4
3.7.2,success,100,16.531000000000006,48148480,163897344,163897344,174,4
3.7.2,success,125,20.656000000000006,48140288,163831808,163831808,174,4
3.7.2,success,150,24.75,48148480,163868672,163868672,174,4
3.7.2,success,175,28.843999999999994,48906240,164806656,164806656,174,4
3.7.2,success,200,32.93799999999999,49795072,165855232,165855232,174,4
3.7.2,success,225,37.26599999999996,49094656,164851712,164851712,174,4
3.7.2,success,250,41.906000000000006,49807360,165875712,165875712,174,4
3.7.2,success,275,46.093999999999994,48984064,164663296,164663296,174,4
3.7.2,success,300,50.25,49881088,165875712,165875712,174,4
3.7.2,success,325,54.343999999999994,49844224,165867520,165867520,174,4
3.7.2,success,350,58.468999999999994,49836032,165863424,165863424,174,4
3.7.2,success,375,62.531000000000006,49770496,165773312,165773312,174,1
3.7.2,success,400,66.67199999999997,49819648,165773312,165773312,174,1
3.7.2,success,425,70.75,49799168,165847040,165847040,174,1
3.7.2,success,450,74.844,49070080,164859904,164859904,174,1
3.7.2,success,475,78.93799999999999,49790976,165687296,165687296,174,1
3.7.2,success,500,83.031,48984064,164638720,164638720,174,1
3.7.2,success,525,87.125,49070080,165027840,165027840,174,1
3.7.2,success,550,91.20299999999997,49053696,164745216,164745216,175,3
3.7.2,success,575,95.29699999999997,49025024,164716544,164716544,175,3
3.7.2,success,600,99.39099999999996,49053696,164782080,164782080,175,3
3.7.2,success,625,103.469,49061888,164839424,164839424,175,3
3.7.2,success,650,107.56299999999999,48996352,164966400,164966400,175,3
3.7.2,success,675,111.67199999999997,47751168,164667392,164667392,175,3
3.7.2,success,700,115.76599999999996,47898624,165740544,165740544,175,3
3.7.2,success,725,119.844,47079424,164876288,164876288,175,3
3.7.2,success,750,123.92199999999997,47656960,165781504,165781504,175,3
3.7.2,success,775,128.01599999999996,47362048,165785600,165785600,175,3
3.7.2,success,800,132.10899999999998,46985216,165736448,165736448,175,3
3.7.2,success,825,136.20299999999997,46137344,165003264,165003264,175,3
3.7.2,success,850,140.281,45568000,164794368,164794368,175,3
3.7.2,success,875,144.35899999999998,46403584,165842944,165842944,175,3
3.7.2,success,900,148.45299999999997,45371392,164712448,164712448,175,3
3.7.2,success,925,152.51599999999996,44568576,164966400,164966400,175,3
3.7.2,success,950,156.60899999999998,44703744,165912576,165912576,175,3
3.7.2,success,975,160.656,43798528,164945920,164945920,175,3
3.7.2,success,1000,164.656,43675648,164675584,164675584,175,3
3.6.5,failure,0,0,40034304,27488256,27488256,173,4
3.6.5,failure,1,0.03199999999992542,46927872,163364864,163364864,173,4
3.6.5,failure,25,0.10999999999989996,47329280,163721216,163721216,173,4
3.6.5,failure,50,0.20299999999997453,47411200,163753984,163753984,173,4
3.6.5,failure,75,0.2819999999999254,47992832,164868096,164868096,173,4
3.6.5,failure,100,0.375,48029696,164868096,164868096,173,4
3.6.5,failure,125,0.45299999999997453,48013312,164868096,164868096,173,4
3.6.5,failure,150,0.5319999999999254,48062464,164868096,164868096,173,4
3.6.5,failure,175,0.625,48918528,165834752,165834752,173,4
3.6.5,failure,200,0.7029999999999745,48996352,165834752,165834752,173,4
3.6.5,failure,225,0.7819999999999254,49045504,165834752,165834752,173,4
3.6.5,failure,250,0.8599999999999,49078272,165834752,165834752,173,4
3.6.5,failure,275,0.9529999999999745,49119232,165834752,165834752,173,4
3.6.5,failure,300,1.0319999999999254,49061888,165834752,165834752,173,4
3.6.5,failure,325,1.1099999999999,48508928,164818944,164818944,173,4
3.6.5,failure,350,1.1879999999998745,49164288,165834752,165834752,173,4
3.6.5,failure,375,1.2819999999999254,49217536,165834752,165834752,173,4
3.6.5,failure,400,1.3599999999999,49266688,165834752,165834752,173,4
3.6.5,failure,425,1.4379999999998745,49188864,165834752,165834752,173,4
3.6.5,failure,450,1.5319999999999254,48562176,164925440,164925440,173,4
3.6.5,failure,475,1.6099999999999,49127424,165666816,165666816,173,4
3.6.5,failure,500,1.6879999999998745,48517120,164835328,164835328,173,4
3.6.5,failure,525,1.765999999999849,49106944,165834752,165834752,173,4
3.6.5,failure,550,1.8599999999999,49184768,165834752,165834752,173,4
3.6.5,failure,575,1.9379999999998745,49135616,165834752,165834752,173,4
3.6.5,failure,600,2.015999999999849,49213440,165834752,165834752,173,4
3.6.5,failure,625,2.0939999999998236,49315840,165834752,165834752,173,4
3.6.5,failure,650,2.1879999999998745,49184768,165834752,165834752,173,4
3.6.5,failure,675,2.265999999999849,49307648,165834752,165834752,173,4
3.6.5,failure,700,2.3439999999998236,49143808,165834752,165834752,173,4
3.6.5,failure,725,2.4379999999998745,49262592,165834752,165834752,173,4
3.6.5,failure,750,2.515999999999849,48521216,164818944,164818944,173,4
3.6.5,failure,775,2.5939999999998236,49238016,165834752,165834752,173,4
3.6.5,failure,800,2.6720000000000255,49393664,165834752,165834752,173,4
3.6.5,failure,825,2.75,49192960,165834752,165834752,173,4
3.6.5,failure,850,2.8279999999999745,49188864,165834752,165834752,173,4
3.6.5,failure,875,2.9220000000000255,49270784,165834752,165834752,173,4
3.6.5,failure,900,3.0,48549888,164806656,164806656,173,4
3.6.5,failure,925,3.0779999999999745,49152000,165834752,165834752,173,4
3.6.5,failure,950,3.1569999999999254,49143808,165834752,165834752,173,4
3.6.5,failure,975,3.2349999999999,48611328,164937728,164937728,173,4
3.6.5,failure,1000,3.3129999999998745,49364992,165834752,165834752,173,4
3.7.2,failure,0,0,40464384,27459584,27459584,174,4
3.7.2,failure,1,0.014999999999986358,47226880,162906112,162906112,174,4
3.7.2,failure,25,0.1560000000000059,47656960,163311616,163311616,174,4
3.7.2,failure,50,0.3120000000000118,47800320,163545088,163545088,174,4
3.7.2,failure,75,0.45299999999997453,47816704,163540992,163540992,174,4
3.7.2,failure,100,0.5939999999999941,48472064,164442112,164442112,174,4
3.7.2,failure,125,0.7339999999999804,48570368,164442112,164442112,174,4
3.7.2,failure,150,0.8589999999999804,48513024,164442112,164442112,174,4
3.7.2,failure,175,1.0,49426432,165408768,165408768,174,4
3.7.2,failure,200,1.1399999999999864,49549312,165408768,165408768,174,4
3.7.2,failure,225,1.281000000000006,49737728,166969344,166969344,174,4
3.7.2,failure,250,1.406000000000006,49852416,167108608,167108608,174,4
3.7.2,failure,275,1.5469999999999686,49717248,167108608,167108608,174,4
3.7.2,failure,300,1.6870000000000118,49004544,164716544,164716544,174,4
3.7.2,failure,325,1.8279999999999745,49651712,167108608,167108608,174,4
3.7.2,failure,350,1.968999999999994,49704960,167108608,167108608,174,4
3.7.2,failure,375,2.1089999999999804,49717248,167108608,167108608,174,4
3.7.2,failure,400,2.2339999999999804,49717248,167108608,167108608,174,4
3.7.2,failure,425,2.375,49729536,167108608,167108608,174,4
3.7.2,failure,450,2.5,49725440,167108608,167108608,174,4
